Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;359.950000;364.723590;363.097456;366.071526
2017-01-09;359.870000;364.535622;363.261446;365.596516
2017-01-16;359.940000;365.208754;363.631921;366.441158
2017-01-23;359.670000;368.029298;366.667928;369.187939
2017-01-30;359.720000;368.416704;367.045425;369.402933
2017-02-06;361.270000;369.134717;367.755305;370.400604
2017-02-13;364.220000;370.406142;369.326106;371.236867
2017-02-20;364.600000;369.967030;368.814275;370.821039
2017-02-27;368.670000;370.875690;369.647910;371.901385
2017-03-06;371.340000;371.825566;370.958636;372.432829
2017-03-13;374.570000;372.687033;371.876587;373.181073
2017-03-20;373.660000;371.677527;370.619719;372.479149
2017-03-27;374.040000;372.890312;371.957565;373.401096
2017-04-03;373.150000;372.509995;371.917665;373.171161
2017-04-10;371.670000;371.862845;371.135803;372.585748
2017-04-17;370.850000;370.733836;370.016090;371.453723
2017-04-24;370.140000;370.761755;370.050543;371.462006
2017-05-01;369.580000;370.024681;368.987689;370.736320
2017-05-08;373.950000;370.316486;369.517926;370.885243
2017-05-15;372.770000;373.077554;372.285928;373.771175
2017-05-22;371.620000;371.859952;371.092439;372.626378
2017-05-29;371.120000;372.414462;371.674280;373.246594
2017-06-05;370.620000;370.972607;370.113428;371.741226
2017-06-12;369.740000;370.444975;369.603075;371.118820
2017-06-19;368.570000;369.339026;368.565962;370.264163
2017-06-26;367.020000;367.727217;366.837729;368.527803
2017-07-03;365.920000;366.493256;365.714757;367.401991
2017-07-10;366.970000;366.045213;365.237810;366.898120
2017-07-17;369.570000;368.764973;367.864352;369.274220
2017-07-24;370.070000;368.643315;367.690776;369.161940
2017-07-31;379.320000;370.833870;369.722963;371.745348
2017-08-07;374.520000;374.127075;373.046109;375.045909
2017-08-14;373.020000;372.280809;371.465036;372.868190
2017-08-21;373.420000;372.882190;372.465141;373.431439
2017-08-28;372.570000;372.542986;371.518559;373.299405
2017-09-04;371.770000;371.767596;370.747157;372.462447
2017-09-11;370.970000;370.014867;369.078528;371.495760
2017-09-18;375.520000;369.250537;368.388652;370.007939
2017-09-25;373.920000;372.415924;371.712589;373.209535
2017-10-02;372.380000;371.887781;371.060094;372.590359
2017-10-09;372.520000;372.672130;371.702202;374.136934
2017-10-16;373.420000;371.970625;371.035493;372.789265
2017-10-23;372.720000;371.369194;370.837816;372.120683
2017-10-30;371.920000;371.303178;370.730998;371.848186
2017-11-06;371.590000;370.788077;369.900591;371.494922
2017-11-13;372.570000;370.436694;369.613222;371.071596
2017-11-20;372.670000;371.553514;370.420078;372.410812
2017-11-27;375.920000;372.079517;371.322232;372.993214
2017-12-04;376.720000;374.553079;373.511423;375.862753
2017-12-11;376.620000;375.473975;374.651340;376.795079
2017-12-18;378.370000;377.063910;375.915913;378.231796
2017-12-25;376.620000;377.642181;376.648088;378.566827
2018-01-01;376.170000;375.863477;374.705072;376.959377
2018-01-08;377.820000;376.930699;376.096266;377.706760
2018-01-15;375.920000;376.545821;376.059886;377.412778
2018-01-22;376.420000;375.878622;375.126326;376.870717
2018-01-29;375.970000;376.254985;375.656097;376.920662
2018-02-05;376.320000;375.595007;375.026755;376.236942
2018-02-12;375.220000;375.753706;375.115219;376.796918
2018-02-19;373.470000;374.776222;374.256328;375.406607
2018-02-26;372.520000;374.112383;373.618771;374.840932
2018-03-05;371.970000;373.546901;373.057542;374.218332
2018-03-12;371.470000;373.009673;372.443668;373.749294
2018-03-19;373.020000;373.908896;373.266743;374.533777
2018-03-26;373.470000;374.255264;373.642552;374.916418
2018-04-02;373.820000;373.794226;373.018456;374.547664
2018-04-09;373.640000;374.849945;373.990335;375.447191
2018-04-16;374.770000;374.843997;374.301390;375.630481
2018-04-23;374.170000;375.601962;374.925438;376.825551
2018-04-30;373.020000;373.660959;372.905513;374.592509
2018-05-07;371.820000;372.041675;371.199504;372.640901
2018-05-14;371.120000;370.943805;370.140361;371.672026
2018-05-21;370.420000;370.802136;369.994513;371.603819
2018-05-28;370.220000;369.979501;369.222006;370.770433
2018-06-04;369.320000;369.130515;368.264754;369.954910
2018-06-11;368.120000;368.512317;368.025168;369.515024
2018-06-18;368.020000;370.647041;369.990918;371.871323
2018-06-25;366.620000;369.350867;368.482254;370.362907
2018-07-02;365.890000;367.553236;366.842976;368.508862
2018-07-09;365.320000;366.373608;365.743352;367.152858
2018-07-16;364.720000;365.062550;364.067262;365.705336
2018-07-23;364.420000;364.310698;363.635211;364.970895
2018-07-30;363.820000;363.482988;362.651482;364.307475
2018-08-06;362.920000;363.065617;362.340805;363.496896
2018-08-13;362.470000;362.092886;361.553682;362.444659
2018-08-20;361.920000;361.548720;360.973874;362.367244
2018-08-27;361.720000;360.810207;360.041388;361.591557
2018-09-03;361.620000;360.312587;359.762370;361.014124
2018-09-10;361.270000;359.501682;358.765738;360.755290
2018-09-17;360.920000;358.996526;357.931598;360.295459
2018-09-24;360.820000;358.227747;357.216322;359.515950
2018-10-01;360.470000;358.893219;358.311005;359.591852
2018-10-08;360.320000;357.745387;356.684744;358.614153
2018-10-15;360.120000;357.764909;356.593108;358.999066
2018-10-22;359.820000;357.515092;356.279872;359.326996
2018-10-29;360.020000;357.469243;356.537753;359.215887
2018-11-05;359.570000;356.877347;355.419958;358.861624
2018-11-12;359.470000;356.518123;355.235208;357.941594
2018-11-19;359.170000;357.218259;354.893466;359.315741
2018-11-26;359.170000;356.994051;354.153162;359.319864
2018-12-03;360.220000;356.870874;354.272690;359.181010
2018-12-10;361.520000;360.433090;357.319281;362.849403
2018-12-17;360.220000;362.873840;359.775557;365.171159
2018-12-24;364.420000;363.341737;360.890448;365.313100
2018-12-31;363.920000;367.298752;365.500688;369.171953
2019-01-07;364.020000;366.806331;364.428973;368.515231
2019-01-14;372.120000;368.732614;366.914680;370.817346
2019-01-21;372.320000;370.986861;369.030150;372.921094
2019-01-28;371.720000;371.080550;368.942514;372.704274
2019-02-04;371.420000;372.731709;371.228059;374.238400
2019-02-11;373.020000;372.030682;370.572618;373.787083
2019-02-18;374.920000;373.250830;372.012109;375.141052
2019-02-25;373.070000;372.442433;371.167862;373.958920
2019-03-04;372.170000;372.063097;370.499512;374.007811
2019-03-11;372.320000;371.935056;370.354050;373.570818
2019-03-18;378.520000;374.223119;373.323225;375.199007
2019-03-25;376.070000;376.355605;375.420131;376.972571
2019-04-01;374.020000;375.026996;374.182092;375.693277
2019-04-08;372.920000;373.355415;372.724841;374.252669
2019-04-15;371.870000;373.105418;372.258812;373.934023
2019-04-22;371.370000;372.532933;371.776949;373.252953
2019-04-29;370.820000;371.902060;371.401402;372.656061
2019-05-06;370.070000;371.280450;370.770653;371.979300
2019-05-13;369.720000;370.161375;369.587680;370.822119
2019-05-20;370.120000;371.112936;370.323097;371.748662
2019-05-27;377.620000;373.821521;373.097346;374.520564
2019-06-03;374.320000;373.501764;372.529147;374.211362
2019-06-10;372.470000;372.706819;372.038377;373.432814
2019-06-17;371.420000;371.834145;371.409398;372.564247
2019-06-24;370.620000;370.152553;369.721333;370.882196
2019-07-01;369.720000;368.751744;368.152794;369.595238
2019-07-08;368.120000;367.129413;366.306502;368.129039
2019-07-15;366.320000;365.176173;364.690993;366.098528
2019-07-22;365.020000;364.208260;363.275723;364.930595
2019-07-29;364.570000;363.347343;362.718904;364.009085
2019-08-05;363.620000;362.702882;361.957764;363.528758
2019-08-12;363.120000;361.878978;360.662900;362.653201
2019-08-19;362.420000;361.898553;360.570425;362.803180
2019-08-26;361.820000;361.389374;360.715570;362.258879
2019-09-02;361.620000;360.253966;359.255440;361.364896
2019-09-09;361.270000;359.635020;358.344017;360.656247
2019-09-16;360.870000;359.137993;357.979034;360.876732
2019-09-23;360.820000;358.272150;357.097389;359.554417
2019-09-30;361.020000;358.043593;356.494427;359.501933
2019-10-07;361.020000;359.539780;358.456870;361.147227
2019-10-14;361.320000;359.972514;358.700954;361.167911
2019-10-21;361.270000;361.820425;360.287598;363.225145
2019-10-28;360.820000;363.099379;361.777969;364.440639
2019-11-04;361.320000;362.856708;361.607727;363.910358
2019-11-11;362.570000;364.720554;363.614368;365.869789
2019-11-18;362.720000;365.762064;364.906815;366.584384
2019-11-25;362.620000;366.367436;365.157356;367.328217
2019-12-02;365.370000;365.438246;364.586972;367.031436
2019-12-09;366.470000;367.825795;366.726253;369.014270
2019-12-16;375.070000;367.756847;365.825320;369.081583
2019-12-23;374.170000;371.494667;370.525366;372.343268
2019-12-30;374.770000;372.557097;371.541000;373.461044
2020-01-06;373.820000;372.644412;371.893106;373.509569
2020-01-13;372.720000;372.528989;371.745146;373.043813
2020-01-20;372.670000;373.952289;373.283112;374.702577
2020-01-27;372.270000;373.635051;372.768497;374.358197
2020-02-03;373.320000;373.273744;372.209018;374.133334
2020-02-10;376.520000;375.923567;374.848480;376.830356
2020-02-17;375.920000;375.626343;374.986263;376.648576
2020-02-24;375.520000;376.573711;375.935779;377.229404
2020-03-02;377.820000;376.419498;375.832147;377.094501
2020-03-09;377.920000;376.555701;375.710858;377.456364
2020-03-16;377.820000;376.235242;375.610321;376.946675
2020-03-23;375.070000;376.734741;376.022046;377.294948
2020-03-30;373.420000;375.424272;374.784604;375.969162
2020-04-06;372.470000;373.728827;373.155705;374.436549
2020-04-13;371.720000;372.566650;371.758603;373.201190
2020-04-20;370.920000;371.896498;370.920122;372.649841
2020-04-27;370.320000;371.474628;370.659938;372.180147
2020-05-04;369.570000;370.258212;369.391870;371.414307
2020-05-11;368.320000;370.179494;369.420753;370.750526
2020-05-18;367.020000;370.733060;369.809781;371.404478
2020-05-25;366.020000;369.714491;368.995938;370.235916
2020-06-01;365.470000;369.238091;368.847523;369.648026
2020-06-08;365.420000;367.647627;367.001833;368.068472
2020-06-15;366.720000;367.828166;366.931676;368.564067
2020-06-22;370.920000;370.589520;369.923618;371.445900
2020-06-29;370.060000;369.416068;368.549794;370.186966
2020-07-06;368.570000;368.088855;367.248895;368.967343
2020-07-13;366.620000;367.213698;366.474271;367.986682
2020-07-20;365.420000;366.044608;365.551466;366.468167
2020-07-27;364.770000;364.898537;364.325404;365.541968
2020-08-03;363.820000;364.041154;363.312529;364.930984
2020-08-10;363.120000;363.691287;362.960953;364.418112
2020-08-17;362.570000;363.010846;362.084496;363.671112
2020-08-24;361.920000;362.830138;361.929608;363.446347
2020-08-31;361.720000;362.171622;361.546146;362.952197
2020-09-07;361.570000;361.846582;360.960875;362.381795
2020-09-14;361.240000;361.251132;360.678610;361.843930
2020-09-21;360.870000;360.851393;360.138431;361.545230
2020-09-28;361.200000;359.687442;359.049937;360.486449
2020-10-05;360.870000;359.598148;358.666800;360.404469
2020-10-12;360.720000;358.943378;357.601715;359.998021
2020-10-19;360.400000;360.062819;358.409535;361.433510
2020-10-26;360.450000;360.204854;359.192715;361.177274
2020-11-02;361.220000;361.603052;360.700583;363.140424
2020-11-09;360.620000;363.428755;362.131172;364.458324
2020-11-16;360.570000;363.466859;362.671765;364.405896
2020-11-23;360.220000;363.343747;362.510257;364.174388
2020-11-30;360.170000;362.669978;361.667783;363.641396
2020-12-07;360.420000;362.036093;360.534651;363.342798
2020-12-14;360.170000;362.461865;360.817641;364.066966
2020-12-21;359.970000;363.432620;361.910826;364.547014
2020-12-28;359.570000;364.674826;362.553052;366.308920
