Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;414.667600;414.806949;414.774005;414.833176
2017-01-09;414.668960;414.812878;414.787506;414.841292
2017-01-16;414.662410;414.828508;414.796471;414.864091
2017-01-23;414.681070;414.867424;414.840654;414.893657
2017-01-30;414.687860;414.886903;414.858907;414.911435
2017-02-06;414.700000;414.907132;414.879114;414.927922
2017-02-13;414.720000;414.923851;414.893579;414.947029
2017-02-20;414.771250;414.911143;414.886324;414.929536
2017-02-27;414.836040;414.927315;414.895888;414.951163
2017-03-06;414.844790;414.924760;414.906677;414.945415
2017-03-13;414.853130;414.935832;414.919853;414.956430
2017-03-20;414.874790;414.925453;414.911475;414.935034
2017-03-27;414.858130;414.946585;414.933841;414.962508
2017-04-03;414.780000;414.940788;414.925833;414.959921
2017-04-10;414.727710;414.908884;414.891699;414.922531
2017-04-17;414.690000;414.847534;414.833572;414.863884
2017-04-24;414.670000;414.818788;414.800565;414.837738
2017-05-01;414.646460;414.769728;414.742111;414.800859
2017-05-08;414.640000;414.771350;414.740042;414.792645
2017-05-15;414.610000;414.756296;414.742563;414.779588
2017-05-22;414.600000;414.744272;414.726297;414.758961
2017-05-29;414.667310;414.745392;414.729970;414.754900
2017-06-05;414.641210;414.698816;414.687250;414.715353
2017-06-12;414.606250;414.683282;414.671642;414.704823
2017-06-19;414.556730;414.650708;414.637032;414.671475
2017-06-26;414.482857;414.594029;414.576007;414.618027
2017-07-03;414.521429;414.528452;414.502989;414.554179
2017-07-10;414.547143;414.594714;414.582126;414.608299
2017-07-17;414.514286;414.605682;414.592831;414.625116
2017-07-24;414.491429;414.614790;414.594768;414.634569
2017-07-31;414.495714;414.621747;414.599324;414.638805
2017-08-07;414.470000;414.611302;414.596527;414.621100
2017-08-14;414.470000;414.534526;414.515192;414.558090
2017-08-21;414.464286;414.524962;414.506834;414.539874
2017-08-28;414.451429;414.524474;414.508447;414.538013
2017-09-04;414.461429;414.572879;414.557106;414.591507
2017-09-11;414.497143;414.589374;414.568948;414.608496
2017-09-18;414.527143;414.582697;414.567526;414.597551
2017-09-25;414.572857;414.642799;414.632944;414.660214
2017-10-02;414.582857;414.648245;414.628107;414.665665
2017-10-09;414.605714;414.659377;414.640186;414.685765
2017-10-16;414.621429;414.674951;414.659802;414.687502
2017-10-23;414.624286;414.685561;414.667284;414.707550
2017-10-30;414.641429;414.694069;414.672682;414.712306
2017-11-06;414.681429;414.740141;414.728006;414.754228
2017-11-13;414.720000;414.757713;414.744168;414.774141
2017-11-20;414.792857;414.827888;414.806187;414.850072
