Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;235.421600;235.646038;235.539107;235.735597
2017-01-09;235.401720;235.616182;235.523492;235.730373
2017-01-16;235.393860;235.635963;235.555832;235.723403
2017-01-23;235.382360;235.662067;235.598796;235.768895
2017-01-30;235.379810;235.692104;235.609474;235.768067
2017-02-06;235.416310;235.701249;235.628496;235.780405
2017-02-13;235.454210;235.733034;235.645502;235.827888
2017-02-20;235.464420;235.712319;235.614453;235.815460
2017-02-27;235.492180;235.723753;235.670103;235.797631
2017-03-06;235.529160;235.721377;235.644759;235.810683
2017-03-13;235.581920;235.733918;235.654601;235.803046
2017-03-20;235.636640;235.749709;235.701099;235.816917
2017-03-27;235.730260;235.833344;235.767233;235.903513
2017-04-03;235.782630;235.865693;235.786977;235.922407
2017-04-10;235.808520;235.865051;235.775736;235.944939
2017-04-17;235.801510;235.831511;235.739212;235.938203
2017-04-24;235.771170;235.823765;235.738616;235.909817
2017-05-01;235.744270;235.776411;235.678136;235.854618
2017-05-08;235.755570;235.786731;235.707999;235.932150
2017-05-15;235.731290;235.857322;235.808732;235.932191
2017-05-22;235.709170;235.857658;235.784789;235.943940
2017-05-29;235.673900;235.800156;235.735757;235.858910
2017-06-05;235.657760;235.771581;235.693604;235.832925
2017-06-12;235.637680;235.757408;235.680795;235.836011
2017-06-19;235.599380;235.730714;235.675737;235.791716
2017-06-26;235.566540;235.649976;235.579261;235.712131
2017-07-03;235.568000;235.636660;235.562101;235.690743
2017-07-10;235.543740;235.632735;235.604174;235.659422
2017-07-17;235.526270;235.664458;235.630611;235.713467
2017-07-24;235.520000;235.645739;235.603575;235.702602
2017-07-31;235.600170;235.622611;235.558448;235.668060
2017-08-07;235.618420;235.740567;235.672729;235.803771
2017-08-14;235.622590;235.745972;235.675913;235.836691
2017-08-21;235.626030;235.704165;235.644656;235.774081
2017-08-28;235.657740;235.668878;235.608120;235.755453
2017-09-04;235.715970;235.662398;235.608256;235.723278
2017-09-11;235.736710;235.663940;235.593213;235.754401
2017-09-18;235.770440;235.635139;235.561223;235.715811
2017-09-25;235.766990;235.699845;235.617551;235.778668
2017-10-02;235.753330;235.688136;235.598485;235.777962
2017-10-09;235.749170;235.725095;235.647620;235.793864
2017-10-16;235.736380;235.698162;235.637032;235.784898
2017-10-23;235.721920;235.689130;235.626849;235.797961
2017-10-30;235.726180;235.658264;235.581606;235.767403
2017-11-06;235.714330;235.656610;235.598575;235.746738
2017-11-13;235.737390;235.634618;235.582052;235.699609
2017-11-20;235.782910;235.665707;235.583566;235.749902
2017-11-27;235.834090;235.675990;235.577485;235.763838
2017-12-04;235.960800;235.793916;235.726064;235.899780
2017-12-11;236.071350;235.883228;235.799142;235.955662
2017-12-18;236.164710;235.987529;235.887167;236.090835
2017-12-25;236.225714;236.094386;235.972098;236.224264
2018-01-01;236.304286;236.103660;235.997100;236.204909
2018-01-08;236.365714;236.156580;236.067690;236.252861
2018-01-15;236.467143;236.223373;236.114672;236.368277
2018-01-22;236.528571;236.264041;236.190368;236.338706
2018-01-29;236.552857;236.338332;236.239075;236.473515
2018-02-05;236.551429;236.354749;236.258742;236.467297
2018-02-12;236.501429;236.358520;236.240893;236.483536
2018-02-19;236.438571;236.330346;236.236512;236.476638
2018-02-26;236.380000;236.280232;236.181506;236.434373
2018-03-05;236.320000;236.217505;236.124162;236.353223
2018-03-12;236.282500;236.179080;236.078203;236.287577
2018-03-19;236.210000;236.185298;236.089288;236.275332
2018-03-26;236.185714;236.217010;236.130959;236.296146
2018-04-02;236.160000;236.159927;236.095819;236.218150
2018-04-09;236.135714;236.207729;236.140750;236.275722
2018-04-16;236.110000;236.156944;236.092872;236.245281
2018-04-23;236.072857;236.137717;236.044482;236.201855
2018-04-30;236.038571;236.069118;235.985609;236.134603
2018-05-07;236.001429;236.010394;235.943790;236.072605
2018-05-14;235.964286;235.915359;235.836801;235.978498
2018-05-21;235.922857;235.901169;235.825517;235.966984
2018-05-28;235.880000;235.834484;235.771498;235.882378
2018-06-04;235.835714;235.798449;235.751656;235.836875
2018-06-11;235.780000;235.720743;235.673700;235.781182
2018-06-18;235.744286;235.755457;235.687502;235.811039
2018-06-25;235.700000;235.692673;235.640453;235.759118
2018-07-02;235.651429;235.621793;235.557182;235.697101
2018-07-09;235.605714;235.568084;235.499126;235.623415
2018-07-16;235.564286;235.534750;235.492824;235.599721
2018-07-23;235.531429;235.492415;235.443719;235.542142
2018-07-30;235.495714;235.469617;235.401096;235.535338
2018-08-06;235.454286;235.425902;235.354547;235.473054
2018-08-13;235.424286;235.396104;235.327752;235.441481
2018-08-20;235.394286;235.374134;235.298164;235.435682
2018-08-27;235.365714;235.341182;235.263217;235.411787
2018-09-03;235.340000;235.326742;235.232406;235.420235
2018-09-10;235.324286;235.296880;235.208188;235.371042
2018-09-17;235.307143;235.290842;235.195232;235.374357
2018-09-24;235.287143;235.264835;235.181734;235.361579
2018-10-01;235.278571;235.274982;235.217444;235.350958
2018-10-08;235.265714;235.246182;235.162657;235.331187
2018-10-15;235.252857;235.233074;235.149920;235.333208
2018-10-22;235.241429;235.229146;235.158398;235.332703
2018-10-29;235.230000;235.222892;235.146416;235.325412
2018-11-05;235.227143;235.209919;235.144360;235.304041
2018-11-12;235.220000;235.192429;235.118607;235.296893
2018-11-19;235.217143;235.179157;235.092173;235.287241
2018-11-26;235.210000;235.174709;235.081392;235.280590
2018-12-03;235.204286;235.162092;235.080618;235.258665
2018-12-10;235.238571;235.223047;235.164185;235.297063
2018-12-17;235.228571;235.264524;235.177675;235.324197
2018-12-24;235.220000;235.258005;235.172861;235.340599
2018-12-31;235.267143;235.402821;235.298673;235.490313
2019-01-07;235.278571;235.456083;235.358215;235.591812
2019-01-14;235.318571;235.526142;235.339062;235.648183
2019-01-21;235.380000;235.615029;235.504912;235.749196
2019-01-28;235.438571;235.702879;235.584337;235.812150
2019-02-04;235.481429;235.727003;235.614367;235.860934
2019-02-11;235.512857;235.777043;235.637882;235.865758
2019-02-18;235.540000;235.771384;235.675787;235.893247
2019-02-25;235.557143;235.780101;235.670703;235.891855
2019-03-04;235.560000;235.740801;235.586326;235.848778
2019-03-11;235.560000;235.725580;235.583418;235.826073
2019-03-18;235.587143;235.749762;235.597924;235.857897
2019-03-25;235.647143;235.872755;235.774700;235.989389
2019-04-01;235.694286;235.881258;235.813727;235.991464
2019-04-08;235.727143;235.842667;235.717046;235.943254
2019-04-15;235.727143;235.871738;235.778227;235.980145
2019-04-22;235.698571;235.842239;235.755185;235.931624
2019-04-29;235.664286;235.825859;235.739339;235.916146
2019-05-06;235.644286;235.825208;235.747787;235.931435
2019-05-13;235.620000;235.800239;235.734503;235.897198
2019-05-20;235.604286;235.773714;235.661435;235.879932
2019-05-27;235.668571;235.817793;235.746625;235.892503
